easting,northing,vs30,uncertainty
1571444.075324171,5190550.218066047,182.28604,0.20000000298023224
1572971.7448771037,5190141.386010769,194.40909,0.20000000298023224
1573939.8666823069,5190731.167127649,196.2542,0.20000000298023224
1575340.8235646647,5190857.125666265,185.89134,0.20000000298023224
1568555.4402858848,5189079.237340785,171.52542,0.20000000298023224
1569010.26555243,5189275.170525072,166.34781,0.20000000298023224
1570292.5313183502,5189173.225595738,137.34744,0.20000000298023224
1570974.2677446005,5189457.626425531,193.96523,0.20000000298023224
1571674.5063990953,5188997.808780296,176.41928,0.20000000298023224
1573028.4776921764,5189701.55449104,211.08961,0.20000000298023224
1568397.2710473419,5187903.67390393,196.15175,0.20000000298023224
1569240.69478446,5188294.54126711,180.34431,0.20000000298023224
1569440.62105326,5188176.088872762,169.80043,0.20000000298023224
1571136.9671744509,5188646.935339289,169.24567,0.20000000298023224
1571955.1579766308,5188346.560103267,224.0926,0.20000000298023224
1572996.0104908755,5188087.172451112,208.86227,0.20000000298023224
1568529.2427205287,5186835.576329761,188.72357,0.20000000298023224
1568933.3375439332,5186925.550267451,180.70593,0.20000000298023224
1570437.0037716555,5187492.862497028,164.42683,0.20000000298023224
1571122.7446913265,5187294.948631154,153.5902,0.20000000298023224
1571986.1590604847,5187509.380068813,212.03627,0.20000000298023224
1573055.0000191694,5187259.991061951,203.15843,0.20000000298023224
1576067.3295333374,5186775.219554484,197.7501,0.20000000298023224
1566217.3854512682,5185871.8931574635,193.12628,0.20000000298023224
1566699.9550842592,5185855.908027918,180.80817,0.20000000298023224
1568246.1160728098,5186110.8424757505,196.24046,0.20000000298023224
1568876.8740017593,5186224.312992756,167.61502,0.20000000298023224
1570057.919457691,5186415.763913329,200.342,0.20000000298023224
1572998.0399418497,5186200.898124523,206.71942,0.20000000298023224
1573938.4184973934,5186507.794261447,204.40501,0.20000000298023224
1575071.9791033647,5186235.416710868,182.8317,0.20000000298023224
1576021.8547530558,5186255.922391191,180.39212,0.20000000298023224
1576885.5126080522,5186274.428020127,210.05858,0.20000000298023224
1565528.1555478235,5185394.056330898,199.78098,0.20000000298023224
1566147.1755544194,5185342.088158322,209.0795,0.20000000298023224
1566967.3669808132,5185370.593737627,185.62395,0.20000000298023224
1568315.847365339,5185778.468773409,174.33195,0.20000000298023224
1569333.730084889,5184918.316112064,160.8721,0.20000000298023224
1570052.9422835691,5185444.132469741,174.48625,0.20000000298023224
1573159.991621694,5185410.206304402,203.47551,0.20000000298023224
1574095.127774738,5185325.755604096,192.23134,0.20000000298023224
1574897.821148393,5184855.9528319305,180.71045,0.20000000298023224
1576013.1245567587,5185205.834580038,192.99062,0.20000000298023224
1577006.9822656414,5185051.912363121,207.14272,0.20000000298023224
1577619.7329373185,5185383.291092502,196.05266,0.20000000298023224
1566939.1575533503,5184260.007782846,176.61682,0.20000000298023224
1567996.2588374498,5184203.05361379,163.80719,0.20000000298023224
1569174.301987556,5184479.97841938,176.74574,0.20000000298023224
1570180.4298752698,5183919.715828715,184.84416,0.20000000298023224
1571049.097688746,5183785.288185783,175.94011,0.20000000298023224
1572402.8112203386,5184236.145195967,212.24277,0.20000000298023224
1573013.0665369548,5184542.039546002,224.1679,0.20000000298023224
1573882.4904189822,5183868.818970839,186.20279,0.20000000298023224
1575032.5301750454,5184219.704469587,188.69041,0.20000000298023224
1576173.576947583,5184284.700333585,185.18176,0.20000000298023224
1577086.9632276879,5184274.221659307,198.97255,0.20000000298023224
1577648.4827121324,5184641.585813422,205.02011,0.20000000298023224
1563017.6541048905,5183242.7846394805,205.54071,0.20000000298023224
1567063.905431108,5182738.581094413,217.57079,0.20000000298023224
1568056.7655219676,5183149.9523633085,189.98212,0.20000000298023224
1569038.3860283128,5183284.428423216,175.0102,0.20000000298023224
1569931.2920819607,5183305.943811552,175.46123,0.20000000298023224
1571127.0796999214,5183305.974115042,181.4351,0.20000000298023224
