index,easting,northing,vs30,uncertainty,source
346,1.8940256e+06,5.820583e+06,205.02623,0.5,cpt
347,1.8550051e+06,5.877239e+06,155.54765,0.5,cpt
348,1.8950754e+06,5.819988e+06,207.67747,0.5,cpt
349,1.7178168e+06,6.0447015e+06,174.12483,0.5,cpt
350,1.7178644e+06,6.051429e+06,116.53263,0.5,cpt
351,1.717935e+06,6.0514935e+06,134.91191,0.5,cpt
352,1.681873e+06,6.027341e+06,102.672745,0.5,cpt
353,1.6945534e+06,5.997541e+06,123.893326,0.5,cpt
354,1.720244e+06,6.043852e+06,178.40924,0.5,cpt
355,1.720888e+06,6.04501e+06,124.48956,0.5,cpt
356,1.568075e+06,5.186331e+06,168.86835,0.5,cpt
357,1.559533e+06,5.168567e+06,173.38895,0.5,cpt
358,1.8896576e+06,5.8225295e+06,172.2291,0.5,cpt
359,1.8167496e+06,5.806198e+06,159.48491,0.5,cpt
360,1.8167509e+06,5.8063605e+06,165.99695,0.5,cpt
361,1.499332e+06,5.137812e+06,212.99352,0.5,cpt
362,1.28429e+06,4.883043e+06,261.7004,0.5,cpt
363,1.5677021e+06,5.1815555e+06,153.57048,0.5,cpt
364,1.5784496e+06,5.1773055e+06,239.12872,0.5,cpt
365,2.0358565e+06,5.709684e+06,140.24239,0.5,cpt
366,1.790386e+06,5.829666e+06,168.02206,0.5,cpt
367,1.563491e+06,5.182798e+06,196.96704,0.5,cpt
368,1.794122e+06,5.8243985e+06,170.56158,0.5,cpt
369,1.575307e+06,5.17816e+06,151.76834,0.5,cpt
370,1.5679834e+06,5.2050205e+06,193.43495,0.5,cpt
372,1.5704612e+06,5.1775955e+06,141.03525,0.5,cpt
373,1.7494322e+06,5.4288575e+06,203.52243,0.5,cpt
374,1.574713e+06,5.182402e+06,188.04547,0.5,cpt
375,1.8018269e+06,5.814592e+06,155.61911,0.5,cpt
376,1.567115e+06,5.181966e+06,224.3301,0.5,cpt
377,1.798584e+06,5.816531e+06,144.85727,0.5,cpt
378,1.799225e+06,5.816205e+06,173.31068,0.5,cpt
379,1.795351e+06,5.820967e+06,180.12172,0.5,cpt
380,1.5744289e+06,5.1848115e+06,194.37413,0.5,cpt
381,1.5745481e+06,5.184819e+06,194.03897,0.5,cpt
383,1.5765921e+06,5.183711e+06,184.40376,0.5,cpt
384,1.5716088e+06,5.192408e+06,160.10924,0.5,cpt
