"","index","easting","northing","slp09c","slp30c"
"529",37468,2437388.21863669,5746030.28233901,0.00744807277137139,0.00787450648345592
"530",51007,2316815.45702115,5479865.79054378,0.0282037904287616,0.0406279309174519
"531",38969,2488000.41782202,5730764.01262332,0.0757772557311462,0.059428551087057
"532",51297,2315319.5277215,5475410.58700337,0.00676582756913778,0.053807624802659
"533",38635,2437203.16892889,5700796.7207923,0.00642335887161947,0.00498471301861063
"534",38622,2445322.7432474,5726353.41511174,0.00720177265534262,0.00502306712670428
"535",26466,2410562.7926924,5939520.62878041,0.0710694407644124,0.117242366992543
"536",51470,2313600.28155665,5475033.04036321,0.0616472592950643,0.0521299896802243
"537",19812,2773972.57531884,6106938.04925681,0.0160872438024542,0.0162659864642855
"538",46528,2220123.03869436,5546498.99103864,0.101586883603032,0.0495564674380438
"539",24736,2669140.33510806,5989086.20953215,0.158443080494994,NA
"540",21262,2747000.71195794,6047656.60638034,0.02880060601892,0.0198204886504994
"541",20574,2748819.31973318,6063473.1137113,0.0358448118528131,0.0129417586485825
"542",20969,2739044.09545646,6058337.89247788,0.0379807835933125,0.0052542938900658
"543",37254,2457816.14421487,5753806.22533483,0.00329064086282204,0.00620532710101075
"544",19669,2728978.98908417,6107068.36129884,0.0063578237506877,0.0109538897732065
"545",23377,2672680.92287515,5998120.25516359,0.0651732742502797,0.0234311644225048
"546",41213,2336164.59636856,5676501.67546782,0.013167118460145,0.0097198667956923
"547",38292,2268895.99450204,5745051.3267438,0.0687842871525571,0.0975864271754271
"548",37473,2281916.57732784,5753739.98173698,0.0802685927155327,0.0838510273812879
"549",24261,2658971.09422677,5989464.8195452,NA,0.0391857145923496
"550",38706,2252665.01737219,5736789.22938698,0.109087738941369,0.0213456960963831
"551",23052,2705419.53501219,6007174.78199457,0.013998968021121,0.030072252909286
"552",20121,2698757.00615979,6080366.17335414,0.000752019036993214,0.00220213419213122
"553",37914,2436420.5673455,5735297.24818273,0.00748907226793808,0.00677322690343963
"554",13968,2946673.45939882,6272448.10915117,0.0311696122930887,0.0373422068954408
"555",14004,2946951.39659051,6269685.22917735,0.00915625228437958,0.0130615174995827
"556",14125,2947654.28137054,6267902.37856095,0.152408834803249,NA
"557",32814,2469876.89693218,5845782.94657684,0.0571767083925554,0.0344768469059781
"558",32116,2362790.57298444,5860435.13893955,0.0381447205558687,0.0535108284380211
"559",38667,2491375.04395116,5736536.15876857,0.103604892557885,0.0572001002496763
"560",52660,2196138.20021956,5448400.20007308,0.00535577429243026,0.00360728386935966
"561",38667,2480624.6592827,5728273.85542992,0.225445633837361,0.151402762884487
"562",3927,2731413.21149391,6547054.79003298,0.059078740749596,0.0220266298550999
"563",34878,2512845.0160376,5804447.23591784,0.205018398573804,0.0418747185078032
"564",13370,2938413.35625751,6274694.32006635,0.00320960744013464,0.00336986891882855
