CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing, NZTM Easting, NZTM Northing, Vs30
26251,-43.563688,172.70705,2486344.09,5738154.04,1576341.56,5176543.83,164.680322
26301,-43.48951,172.689868,2484925.43,5746390.43,1574923.24,5184776.91,197.014579
26305,-43.555425,172.700269,2485792.96,5739070.16,1575790.62,5177459.56,178.634534
26381,-43.550982,172.696169,2485459.88,5739562.6,1575457.66,5177951.8,175.764505
26384,-43.551095,172.696398,2485478.43,5739550.12,1575476.2,5177939.32,184.988053
26388,-43.515,172.710568,2486609.65,5743564.43,1576606.85,5181952.06,185.510306
26409,-43.553414,172.69385,2485273.47,5739291.72,1575271.33,5177681.01,182.269826
26421,-43.552448,172.696536,2485490.13,5739399.83,1575487.9,5177789.09,181.387619
26423,-43.55227,172.696522,2485488.93,5739419.61,1575486.69,5177808.86,179.956418
26430,-43.547558,172.695835,2485431.51,5739942.92,1575429.29,5178331.96,192.778888
26572,-43.550009,172.696084,2485452.62,5739670.68,1575450.4,5178059.83,183.490341
26580,-43.549191,172.69571,2485422.07,5739761.46,1575419.85,5178150.57,191.181483
26582,-43.549114,172.695521,2485406.77,5739769.96,1575404.56,5178159.06,191.290559
26625,-43.547671,172.694987,2485363.03,5739930.12,1575360.83,5178319.16,191.529826
26626,-43.547562,172.6948,2485347.87,5739942.18,1575345.68,5178331.21,186.884687
26750,-43.5123,172.71155,2486688.02,5743864.68,1576685.18,5182252.2,196.87075
27097,-43.510882,172.715237,2486985.62,5744023.25,1576982.66,5182410.7,181.228516
27098,-43.511011,172.715185,2486981.46,5744008.9,1576978.5,5182396.36,186.949907
27123,-43.490999,172.690805,2485001.83,5746225.28,1574999.62,5184611.83,191.950325
27364,-43.491901,172.691257,2485038.76,5746125.2,1575036.54,5184511.79,185.31033
27389,-43.550999,172.697376,2485557.43,5739561.07,1575555.16,5177950.26,189.536246
27436,-43.571999,172.696661,2485508.08,5737227.68,1575505.92,5175617.81,236.123635
27438,-43.572083,172.696646,2485506.9,5737218.34,1575504.74,5175608.47,249.648842
27439,-43.572105,172.696373,2485484.86,5737215.82,1575482.7,5175605.95,193.5822
27599,-43.519418,172.711392,2486677.97,5743073.81,1576675.15,5181461.64,173.355677
27601,-43.519515,172.711658,2486699.51,5743063.11,1576696.69,5181450.94,179.341198
27797,-43.555631,172.695161,2485380.31,5739045.84,1575378.13,5177435.24,180.786513
27820,-43.550942,172.698269,2485629.6,5739567.7,1575627.31,5177956.9,188.201392
28597,-43.510235,172.710328,2486588.41,5744093.77,1576585.61,5182481.19,189.159352
28599,-43.510143,172.710184,2486576.73,5744103.95,1576573.94,5182491.37,194.650743
28681,-43.491098,172.691279,2485040.23,5746214.45,1575038,5184601,204.645071
28682,-43.491161,172.691266,2485039.23,5746207.44,1575037,5184594,208.120219
28707,-43.491365,172.693191,2485194.98,5746185.32,1575192.69,5184571.89,198.827174
28716,-43.550584,172.696539,2485489.62,5739606.93,1575487.38,5177996.11,190.917628
28719,-43.550697,172.696802,2485510.92,5739594.45,1575508.67,5177983.64,188.454592
28836,-43.559632,172.677522,2483956.7,5738595.94,1573955.11,5176985.47,197.925031
28839,-43.560124,172.677398,2483946.95,5738541.18,1573945.37,5176930.73,196.608516
29552,-43.512808,172.710561,2486608.24,5743807.97,1576605.44,5182195.5,195.81101
29569,-43.547197,172.695067,2485369.28,5739982.78,1575367.08,5178371.8,188.762187
29574,-43.553453,172.695174,2485380.48,5739287.78,1575378.29,5177677.08,183.03686
29602,-43.548402,172.696044,2485448.74,5739849.21,1575446.51,5178238.29,187.507057
29603,-43.548302,172.696269,2485466.89,5739860.39,1575464.65,5178249.46,190.691238
29642,-43.555014,172.694375,2485316.54,5739114.11,1575314.39,5177503.48,187.5853
29651,-43.51566,172.710935,2486639.58,5743491.21,1576636.77,5181878.87,189.923051
30255,-43.510539,172.713425,2486838.96,5744060.85,1576836.06,5182448.29,205.102523
30460,-43.516406,172.709858,2486552.78,5743408.02,1576550.01,5181795.71,200.232225
30792,-43.511535,172.709547,2486525.76,5743949.12,1576522.99,5182336.59,200.435523
30867,-43.551167,172.6956,2485413.98,5739541.92,1575411.77,5177931.12,185.378114
31106,-43.564669,172.690347,2484994.99,5738040.21,1574993,5176430,164.398635
31108,-43.564369,172.689481,2484924.96,5738073.23,1574923,5176463,160.19239
31240,-43.548333,172.695666,2485418.17,5739856.77,1575415.95,5178245.84,202.506656
31244,-43.548485,172.695861,2485433.99,5739839.94,1575431.76,5178229.02,204.417678
31298,-43.508008,172.708767,2486461.33,5744340.75,1576458.57,5182728.08,194.228741
31542,-43.550132,172.695439,2485400.55,5739656.83,1575398.35,5178045.98,193.979754
31882,-43.494055,172.694593,2485309.48,5745886.88,1575307.15,5184273.56,197.815341
31919,-43.569533,172.690158,2484981.76,5737499.7,1574979.8,5175889.7,182.955975
31923,-43.569903,172.690394,2485000.97,5737458.68,1574999,5175848.7,194.558066
31928,-43.570306,172.690383,2485000.27,5737413.96,1574998.3,5175804,244.343013
32156,-43.518857,172.711685,2486701.44,5743136.22,1576698.62,5181524.02,188.341523
32157,-43.518929,172.711647,2486698.4,5743128.21,1576695.57,5181516.02,180.032362
32158,-43.518991,172.711781,2486709.25,5743121.36,1576706.43,5181509.17,186.779638
32278,-43.512603,172.714438,2486921.66,5743831.82,1576918.73,5182219.35,186.601379
32279,-43.5127,172.714177,2486900.59,5743820.97,1576897.67,5182208.5,176.689517
32280,-43.512785,172.714342,2486913.96,5743811.57,1576911.04,5182199.11,177.400162
32281,-43.512688,172.71453,2486929.13,5743822.4,1576926.2,5182209.94,186.372663
32310,-43.490218,172.692552,2485142.83,5746312.57,1575140.55,5184699.08,194.937276
