"x","y","longitude","latitude","Vs30","lnMeasUncer","QualityFlag","StationID","Source","Vs30_AhdiAK_noQ3_hyb09c","stDv_AhdiAK_noQ3_hyb09c","Vs30_YongCA_noQ3","stDv_YongCA_noQ3"
1358915.72793222,5183429.62805091,170.019802842099,-43.4632081382968,270,0.5,"Q3","FGPS","KaiserEtAl",246.6138371423,0.344601218802256,297,0.5
1371940.02242613,5192119.53548497,170.184235366102,-43.3891367153495,210,0.5,"Q3","FJDS","KaiserEtAl",335.279503497185,0.602886888230288,323.504047697085,0.407430975749267
1748946.98464957,5427751.35581509,174.778764139113,-41.2879476969839,250,0.5,"Q3","FKPS","KaiserEtAl",242,0.137013550946091,NA,NA
1342679.06502521,5175165.77740141,169.815479827096,-43.5320993152491,1000,0.5,"Q3","FOZ","KaiserEtAl",690.974348966211,0.446036993981441,323.504047697085,0.407430975749267
1795397.17907448,5445454.75919265,175.327441780106,-41.1187051011266,270,0.5,"Q3","FTPS","KaiserEtAl",500,0.243194395377149,202.125866002814,0.206820130727133
1788736.13715836,5518654.39368746,175.226033120105,-40.4613601746904,210,0.5,"Q3","FXBS","KaiserEtAl",472.749388885179,0.354562104171167,198.64481157494,0.205256370217328
1526435.55865349,5173683.8923638,172.088753000103,-43.5861830021747,270,0.5,"Q3","GDLC","KaiserEtAl",500,0.243194395377149,202.125866002814,0.206820130727133
2036799.27223779,5711013.60875472,178.017720000022,-38.6417800063115,270,0.5,"Q3","GHHS","KaiserEtAl",240,0.243194395377149,198.64481157494,0.205256370217328
2037080.14678747,5708245.80571635,178.022674268022,-38.6664888722896,138,0.2,"Q2","GISS","KaiserEtAl",213.568847302354,0.217057738584898,202.125866002814,0.206820130727133
2037785.87164635,5706460.21912097,178.031880000022,-38.6821700062757,800,0.5,"Q3","GKBS","KaiserEtAl",455,0.545,393,0.5
1559885.11830985,5284134.1350756,172.511049373119,-42.5941731529301,270,0.5,"Q3","GLWS","KaiserEtAl",500,0.243194395377149,317.368444092771,0.33166247903554
1452830.46120088,5298798.74562539,171.210353438126,-42.4491760980612,210,0.5,"Q3","GMTS","KaiserEtAl",240,0.243194395377149,241.80869962047,0.307482445914323
1581370.13153929,5174925.74884786,172.769260000106,-43.5784000021737,760,0.5,"Q3","GODS","KaiserEtAl",690.974348966211,0.446036993981441,547,0.5
1286347.50799092,4886534.4500043,168.941693117992,-46.1026670583516,400,0.5,"Q3","GORS","KaiserEtAl",335.279503497185,0.602886888230288,202.125866002814,0.206820130727133
1570624.6097889,5166666.35435229,172.635725000104,-43.6524210021201,690,0.5,"Q3","GOVS","KaiserEtAl",690.974348966211,0.446036993981441,323.504047697085,0.407430975749267
1820834.38886268,5985498.35968753,175.457800000083,-36.250200008452,1000,0.5,"Q3","GRZ","KaiserEtAl",690.974348966211,0.446036993981441,266.870166096091,0.4
1602833.91380221,5242808.66886576,173.034750000114,-42.9673650026342,1000,0.5,"Q3","GVZ","KaiserEtAl",455,0.545,514.970575501527,0.380788655293195
2028521.98091882,5713256.50532126,177.921583161024,-38.6256778683247,245,0.5,"Q3","GWTS","KaiserEtAl",240,0.243194395377149,202.125866002814,0.206820130727133
1401276.33482631,5219749.15711537,170.556061443109,-43.1489116655254,210,0.5,"Q3","HAFS","KaiserEtAl",335.279503497185,0.602886888230288,216.62368022053,0.254950975679639
1565248.98555962,5173475.51375491,172.569502970105,-43.5908804721663,210,0.5,"Q3","HALS","KaiserEtAl",197,0.202629769603115,198.64481157494,0.205256370217328
1665719.91072051,5430720.808473,173.784670000124,-41.2722700040007,1000,0.5,"Q3","HAVS","KaiserEtAl",690.974348966211,0.446036993981441,519,0.5
2021409.68117846,5810462.27758032,177.782600000012,-37.7561000070985,600,0.5,"Q3","HAZ","KaiserEtAl",240,0.243194395377149,519,0.5
1929764.06451413,5604487.3433422,176.842906358068,-39.6458462914095,182,0.2,"Q2","HCDS","KaiserEtAl",268.615578508679,0.243194395377149,202.125866002814,0.206820130727133
1282210.39958588,5133510.44121663,169.044147881081,-43.8830061400052,210,0.5,"Q3","HDWS","KaiserEtAl",240,0.243194395377149,198.64481157494,0.205256370217328
1567111.43229184,5177192.21587095,172.592800000106,-43.5575000021909,210,0.5,"Q3","HHSS","KaiserEtAl",210.027826553628,0.202629769603115,202.125866002814,0.206820130727133
